Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 02:04:49.622000,44,0 days 00:01:16.860000,48,,,0 days 00:00:20.205000,0 days 00:00:36.190000,0 days 00:00:20.465000,0 days 02:03:52.967000,0 days 02:04:29.157000,0 days 02:04:49.622000,202.0,190.0,259.0,282.0,False,HARD,17.0,True,2,0 days 02:03:32.762000,Mercedes,HAM,1,True,2023-05-28 14:04:33.739
0 days 02:06:06.403000,44,0 days 00:01:16.781000,49,,,0 days 00:00:20.131000,0 days 00:00:36.233000,0 days 00:00:20.417000,0 days 02:05:09.753000,0 days 02:05:45.986000,0 days 02:06:06.403000,199.0,194.0,258.0,281.0,False,HARD,18.0,True,2,0 days 02:04:49.622000,Mercedes,HAM,1,True,2023-05-28 14:05:50.599
0 days 02:07:23.513000,44,0 days 00:01:17.110000,50,,,0 days 00:00:20.168000,0 days 00:00:36.443000,0 days 00:00:20.499000,0 days 02:06:26.571000,0 days 02:07:03.014000,0 days 02:07:23.513000,200.0,191.0,260.0,281.0,False,HARD,19.0,True,2,0 days 02:06:06.403000,Mercedes,HAM,1,True,2023-05-28 14:07:07.380
0 days 02:08:41.807000,44,0 days 00:01:18.294000,51,,,0 days 00:00:20.058000,0 days 00:00:36.913000,0 days 00:00:21.323000,0 days 02:07:43.571000,0 days 02:08:20.484000,0 days 02:08:41.807000,,188.0,262.0,282.0,False,HARD,20.0,True,2,0 days 02:07:23.513000,Mercedes,HAM,1,True,2023-05-28 14:08:24.490
0 days 02:10:08.044000,44,0 days 00:01:26.237000,52,,,0 days 00:00:20.853000,0 days 00:00:42.111000,0 days 00:00:23.273000,0 days 02:09:02.660000,0 days 02:09:44.771000,0 days 02:10:08.044000,151.0,179.0,270.0,275.0,False,HARD,21.0,True,2,0 days 02:08:41.807000,Mercedes,HAM,1,True,2023-05-28 14:09:42.784
0 days 02:11:39.385000,44,0 days 00:01:31.341000,53,,,0 days 00:00:24.193000,0 days 00:00:45.397000,0 days 00:00:21.751000,0 days 02:10:32.237000,0 days 02:11:17.634000,0 days 02:11:39.385000,111.0,170.0,260.0,269.0,False,HARD,22.0,True,2,0 days 02:10:08.044000,Mercedes,HAM,1,True,2023-05-28 14:11:09.021
0 days 02:13:34.526000,44,0 days 00:01:55.141000,54,,0 days 02:13:08.562000,0 days 00:00:23.451000,0 days 00:00:48.060000,0 days 00:00:43.630000,0 days 02:12:02.836000,0 days 02:12:50.896000,0 days 02:13:34.526000,122.0,136.0,,264.0,False,HARD,23.0,True,2,0 days 02:11:39.385000,Mercedes,HAM,1,False,2023-05-28 14:12:40.362
0 days 02:15:14.129000,44,0 days 00:01:39.603000,55,0 days 02:13:35.202000,,0 days 00:00:27.422000,0 days 00:00:47.069000,0 days 00:00:25.112000,0 days 02:14:01.948000,0 days 02:14:49.017000,0 days 02:15:14.129000,115.0,143.0,253.0,266.0,False,INTERMEDIATE,1.0,True,3,0 days 02:13:34.526000,Mercedes,HAM,2,False,2023-05-28 14:14:35.503
0 days 02:16:55.406000,44,0 days 00:01:41.277000,56,,,0 days 00:00:26.260000,0 days 00:00:48.592000,0 days 00:00:26.425000,0 days 02:15:40.389000,0 days 02:16:28.981000,0 days 02:16:55.406000,119.0,142.0,246.0,245.0,False,INTERMEDIATE,2.0,True,3,0 days 02:15:14.129000,Mercedes,HAM,2,True,2023-05-28 14:16:15.106
0 days 02:18:38.684000,44,0 days 00:01:43.278000,57,,,0 days 00:00:28.374000,0 days 00:00:48.357000,0 days 00:00:26.547000,0 days 02:17:23.780000,0 days 02:18:12.137000,0 days 02:18:38.684000,113.0,143.0,240.0,254.0,False,INTERMEDIATE,3.0,True,3,0 days 02:16:55.406000,Mercedes,HAM,1,True,2023-05-28 14:17:56.383
0 days 02:20:22.062000,44,0 days 00:01:43.378000,58,,,0 days 00:00:27.656000,0 days 00:00:48.863000,0 days 00:00:26.859000,0 days 02:19:06.340000,0 days 02:19:55.203000,0 days 02:20:22.062000,122.0,134.0,221.0,244.0,False,INTERMEDIATE,4.0,True,3,0 days 02:18:38.684000,Mercedes,HAM,2,True,2023-05-28 14:19:39.661
0 days 02:22:07.261000,44,0 days 00:01:45.199000,59,,,0 days 00:00:28.019000,0 days 00:00:49.285000,0 days 00:00:27.895000,0 days 02:20:50.081000,0 days 02:21:39.366000,0 days 02:22:07.261000,114.0,135.0,231.0,247.0,False,INTERMEDIATE,5.0,True,3,0 days 02:20:22.062000,Mercedes,HAM,2,True,2023-05-28 14:21:23.039
0 days 02:23:50.302000,44,0 days 00:01:43.041000,60,,,0 days 00:00:27.600000,0 days 00:00:48.261000,0 days 00:00:27.180000,0 days 02:22:34.861000,0 days 02:23:23.122000,0 days 02:23:50.302000,123.0,132.0,232.0,243.0,False,INTERMEDIATE,6.0,True,3,0 days 02:22:07.261000,Mercedes,HAM,2,True,2023-05-28 14:23:08.238
0 days 02:25:32.698000,44,0 days 00:01:42.396000,61,,,0 days 00:00:27.441000,0 days 00:00:48.298000,0 days 00:00:26.657000,0 days 02:24:17.743000,0 days 02:25:06.041000,0 days 02:25:32.698000,,134.0,231.0,235.0,False,INTERMEDIATE,7.0,True,3,0 days 02:23:50.302000,Mercedes,HAM,2,True,2023-05-28 14:24:51.279
0 days 02:27:14.985000,44,0 days 00:01:42.287000,62,,,0 days 00:00:27.191000,0 days 00:00:48.450000,0 days 00:00:26.646000,0 days 02:25:59.889000,0 days 02:26:48.339000,0 days 02:27:14.985000,122.0,133.0,221.0,236.0,False,INTERMEDIATE,8.0,True,3,0 days 02:25:32.698000,Mercedes,HAM,1,True,2023-05-28 14:26:33.675
